lemma	homonym	new_para	origin
laoittaa	1	VERB_VIEROITTAA	aok
lapoittaa	1	VERB_VIEROITTAA	aok
lassoittaa	1	VERB_VIEROITTAA	aok
lekoittaa	1	VERB_VIEROITTAA	aok
lerpoittaa	1	VERB_VIEROITTAA	aok
leuhoittaa	1	VERB_VIEROITTAA	aok
lihoittaa	1	VERB_VIEROITTAA	aok
liihoittaa	1	VERB_VIEROITTAA	aok
liipoittaa	1	VERB_VIEROITTAA	aok
lioittaa	1	VERB_VIEROITTAA	aok
liuoittaa	1	VERB_VIEROITTAA	aok
loiloittaa	1	VERB_VIEROITTAA	aok
loimoittaa	1	VERB_VIEROITTAA	aok
lompsoittaa	1	VERB_VIEROITTAA	aok
loroittaa	1	VERB_VIEROITTAA	aok
losoittaa	1	VERB_VIEROITTAA	aok
luotoittaa	1	VERB_VIEROITTAA	aok
luoittaa	1	VERB_VIEROITTAA	aok
madoittaa	1	VERB_VIEROITTAA	aok
melloittaa	1	VERB_VIEROITTAA	aok
molloittaa	1	VERB_VIEROITTAA	aok
moloittaa	1	VERB_VIEROITTAA	aok
monoittaa	1	VERB_VIEROITTAA	aok
motkoittaa	1	VERB_VIEROITTAA	aok
murjoittaa	1	VERB_VIEROITTAA	aok
nikoittaa	1	VERB_VIEROITTAA	aok
nipoittaa	1	VERB_VIEROITTAA	aok
niuhoittaa	1	VERB_VIEROITTAA	aok
noloittaa	1	VERB_VIEROITTAA	aok
odoittaa	1	VERB_VIEROITTAA	aok
omaksioittaa	1	VERB_VIEROITTAA	aok
ooittaa	1	VERB_VIEROITTAA	aok
oittaa	1	VERB_VIEROITTAA	aok
painoittaa	1	VERB_VIEROITTAA	aok
pakkojuoittaa	1	VERB_VIEROITTAA	aok
pakko-oittaa	1	VERB_VIEROITTAA	aok
pakoittaa	1	VERB_VIEROITTAA	aok
palloittaa	1	VERB_VIEROITTAA	aok
peloittaa	1	VERB_VIEROITTAA	aok
piiloittaa	1	VERB_VIEROITTAA	aok
piipoittaa	1	VERB_VIEROITTAA	aok
pilkoittaa	1	VERB_VIEROITTAA	aok
pingoittaa	1	VERB_VIEROITTAA	aok
pirskoittaa	1	VERB_VIEROITTAA	aok
poloittaa	1	VERB_VIEROITTAA	aok
pomoittaa	1	VERB_VIEROITTAA	aok
pompoittaa	1	VERB_VIEROITTAA	aok
poroittaa	1	VERB_VIEROITTAA	aok
posmoittaa	1	VERB_VIEROITTAA	aok
posoittaa	1	VERB_VIEROITTAA	aok
pudoittaa	1	VERB_VIEROITTAA	aok
pujoittaa	1	VERB_VIEROITTAA	aok
pulloittaa	1	VERB_VIEROITTAA	aok
pursoittaa	1	VERB_VIEROITTAA	aok
puukoittaa	1	VERB_VIEROITTAA	aok
raoittaa	1	VERB_VIEROITTAA	aok
rehoittaa	1	VERB_VIEROITTAA	aok
repsoittaa	1	VERB_VIEROITTAA	aok
retkoittaa	1	VERB_VIEROITTAA	aok
reuhoittaa	1	VERB_VIEROITTAA	aok
riepoittaa	1	VERB_VIEROITTAA	aok
ripoittaa	1	VERB_VIEROITTAA	aok
roikoittaa	1	VERB_VIEROITTAA	aok
rojoittaa	1	VERB_VIEROITTAA	aok
rokoittaa	1	VERB_VIEROITTAA	aok
ruskoittaa	1	VERB_VIEROITTAA	aok
rusoittaa	1	VERB_VIEROITTAA	aok
sakoittaa	1	VERB_VIEROITTAA	aok
sarjatuoittaa	1	VERB_VIEROITTAA	aok
saunoittaa	1	VERB_VIEROITTAA	aok
seisoittaa	1	VERB_VIEROITTAA	aok
sidoittaa	1	VERB_VIEROITTAA	aok
siiroittaa	1	VERB_VIEROITTAA	aok
siloittaa	1	VERB_VIEROITTAA	aok
siroittaa	1	VERB_VIEROITTAA	aok
sojoittaa	1	VERB_VIEROITTAA	aok
solkoittaa	1	VERB_VIEROITTAA	aok
sopoittaa	1	VERB_VIEROITTAA	aok
suukoittaa	1	VERB_VIEROITTAA	aok
talteenoittaa	1	VERB_VIEROITTAA	aok
taoittaa	1	VERB_VIEROITTAA	aok
tasapainoittaa	1	VERB_VIEROITTAA	aok
tauoittaa	1	VERB_VIEROITTAA	aok
taustavaloittaa	1	VERB_VIEROITTAA	aok
tehoittaa	1	VERB_VIEROITTAA	aok
tiedoittaa	1	VERB_VIEROITTAA	aok
tipoittaa	1	VERB_VIEROITTAA	aok
toitoittaa	1	VERB_VIEROITTAA	aok
toivoittaa	1	VERB_VIEROITTAA	aok
toljoittaa	1	VERB_VIEROITTAA	aok
tolloittaa	1	VERB_VIEROITTAA	aok
touhoittaa	1	VERB_VIEROITTAA	aok
tuijoittaa	1	VERB_VIEROITTAA	aok
tuoittaa	1	VERB_VIEROITTAA	aok
turvoittaa	1	VERB_VIEROITTAA	aok
ukoittaa	1	VERB_VIEROITTAA	aok
ulosoittaa	1	VERB_VIEROITTAA	aok
uloittaa	1	VERB_VIEROITTAA	aok
ulvoittaa	1	VERB_VIEROITTAA	aok
unhoittaa	1	VERB_VIEROITTAA	aok
upoittaa	1	VERB_VIEROITTAA	aok
vaahdoittaa	1	VERB_VIEROITTAA	aok
vaarinoittaa	1	VERB_VIEROITTAA	aok
vajoittaa	1	VERB_VIEROITTAA	aok
valoittaa	1	VERB_VIEROITTAA	aok
valvoittaa	1	VERB_VIEROITTAA	aok
vannoittaa	1	VERB_VIEROITTAA	aok
vaoittaa	1	VERB_VIEROITTAA	aok
varsoittaa	1	VERB_VIEROITTAA	aok
verkoittaa	1	VERB_VIEROITTAA	aok
veroittaa	1	VERB_VIEROITTAA	aok
viekoittaa	1	VERB_VIEROITTAA	aok
viipoittaa	1	VERB_VIEROITTAA	aok
vipsoittaa	1	VERB_VIEROITTAA	aok
viroittaa	1	VERB_VIEROITTAA	aok
viuhoittaa	1	VERB_VIEROITTAA	aok
voivoittaa	1	VERB_VIEROITTAA	aok
vokoittaa	1	VERB_VIEROITTAA	aok
volloittaa	1	VERB_VIEROITTAA	aok
vouhoittaa	1	VERB_VIEROITTAA	aok
vuoroittaa	1	VERB_VIEROITTAA	aok
vuoittaa	1	VERB_VIEROITTAA	aok
yhteisveroittaa	1	VERB_VIEROITTAA	aok
ylikelloittaa	1	VERB_VIEROITTAA	aok
ylivaloittaa	1	VERB_VIEROITTAA	aok
ahavottaa	1	VERB_VIEROITTAA	aok
aidottaa	1	VERB_VIEROITTAA	aok
aikapainottaa	1	VERB_VIEROITTAA	aok
ajottaa	1	VERB_VIEROITTAA	aok
alimitottaa	1	VERB_VIEROITTAA	aok
alivelottaa	1	VERB_VIEROITTAA	aok
allekirjottaa	1	VERB_VIEROITTAA	aok
alottaa	1	VERB_VIEROITTAA	aok
ansottaa	1	VERB_VIEROITTAA	aok
aravalainottaa	1	VERB_VIEROITTAA	aok
armottaa	1	VERB_VIEROITTAA	aok
arviottaa	1	VERB_VIEROITTAA	aok
asemakaavottaa	1	VERB_VIEROITTAA	aok
autiottaa	1	VERB_VIEROITTAA	aok
erottaa	1	VERB_VIEROITTAA	aok
haarottaa	1	VERB_VIEROITTAA	aok
haavottaa	1	VERB_VIEROITTAA	aok
hajasijottaa	1	VERB_VIEROITTAA	aok
hajottaa	1	VERB_VIEROITTAA	aok
hankalottaa	1	VERB_VIEROITTAA	aok
happamottaa	1	VERB_VIEROITTAA	aok
harjottaa	1	VERB_VIEROITTAA	aok
helottaa	1	VERB_VIEROITTAA	aok
hiekottaa	1	VERB_VIEROITTAA	aok
hihnottaa	1	VERB_VIEROITTAA	aok
hinnottaa	1	VERB_VIEROITTAA	aok
ilmottaa	1	VERB_VIEROITTAA	aok
innottaa	1	VERB_VIEROITTAA	aok
irrottaa	1	VERB_VIEROITTAA	aok
jalottaa	1	VERB_VIEROITTAA	aok
joustavottaa	1	VERB_VIEROITTAA	aok
jälleenrahottaa	1	VERB_VIEROITTAA	aok
kaavottaa	1	VERB_VIEROITTAA	aok
kansottaa	1	VERB_VIEROITTAA	aok
kantalinnottaa	1	VERB_VIEROITTAA	aok
karitsottaa	1	VERB_VIEROITTAA	aok
kartottaa	1	VERB_VIEROITTAA	aok
katkerottaa	1	VERB_VIEROITTAA	aok
kehottaa	1	VERB_VIEROITTAA	aok
kenttälinnottaa	1	VERB_VIEROITTAA	aok
kirjavottaa	1	VERB_VIEROITTAA	aok
kirjottaa	1	VERB_VIEROITTAA	aok
kirvottaa	1	VERB_VIEROITTAA	aok
kottaa	1	VERB_VIEROITTAA	aok
konekirjottaa	1	VERB_VIEROITTAA	aok
kunniottaa	1	VERB_VIEROITTAA	aok
kuumottaa	1	VERB_VIEROITTAA	aok
kuvanauhottaa	1	VERB_VIEROITTAA	aok
käsikirjottaa	1	VERB_VIEROITTAA	aok
käsiraudottaa	1	VERB_VIEROITTAA	aok
laatottaa	1	VERB_VIEROITTAA	aok
lahjottaa	1	VERB_VIEROITTAA	aok
laidottaa	1	VERB_VIEROITTAA	aok
lainottaa	1	VERB_VIEROITTAA	aok
laipottaa	1	VERB_VIEROITTAA	aok
langottaa	1	VERB_VIEROITTAA	aok
lannottaa	1	VERB_VIEROITTAA	aok
lastottaa	1	VERB_VIEROITTAA	aok
laudottaa	1	VERB_VIEROITTAA	aok
liikakansottaa	1	VERB_VIEROITTAA	aok
liimottaa	1	VERB_VIEROITTAA	aok
linjottaa	1	VERB_VIEROITTAA	aok
linnottaa	1	VERB_VIEROITTAA	aok
listottaa	1	VERB_VIEROITTAA	aok
liuskottaa	1	VERB_VIEROITTAA	aok
loppusijottaa	1	VERB_VIEROITTAA	aok
maadottaa	1	VERB_VIEROITTAA	aok
majottaa	1	VERB_VIEROITTAA	aok
matalottaa	1	VERB_VIEROITTAA	aok
miinottaa	1	VERB_VIEROITTAA	aok
mitottaa	1	VERB_VIEROITTAA	aok
muistiinkirjottaa	1	VERB_VIEROITTAA	aok
mukavottaa	1	VERB_VIEROITTAA	aok
muovipinnottaa	1	VERB_VIEROITTAA	aok
nahottaa	1	VERB_VIEROITTAA	aok
nasevottaa	1	VERB_VIEROITTAA	aok
nastottaa	1	VERB_VIEROITTAA	aok
nauhottaa	1	VERB_VIEROITTAA	aok
Noittaa	1	PROPN_VAINAA	unihu
osarahottaa	1	VERB_VIEROITTAA	aok
osottaa	1	VERB_VIEROITTAA	aok
pahottaa	1	VERB_VIEROITTAA	aok
paikottaa	1	VERB_VIEROITTAA	aok
palottaa	1	VERB_VIEROITTAA	aok
palstottaa	1	VERB_VIEROITTAA	aok
paulottaa	1	VERB_VIEROITTAA	aok
peruskartottaa	1	VERB_VIEROITTAA	aok
pikakirjottaa	1	VERB_VIEROITTAA	aok
pilkottaa	1	VERB_VIEROITTAA	aok
pinnottaa	1	VERB_VIEROITTAA	aok
puhtaaksikirjottaa	1	VERB_VIEROITTAA	aok
punottaa	1	VERB_VIEROITTAA	aok
päällekirjottaa	1	VERB_VIEROITTAA	aok
rahottaa	1	VERB_VIEROITTAA	aok
raidottaa	1	VERB_VIEROITTAA	aok
rajottaa	1	VERB_VIEROITTAA	aok
rappiottaa	1	VERB_VIEROITTAA	aok
rasvottaa	1	VERB_VIEROITTAA	aok
raudottaa	1	VERB_VIEROITTAA	aok
rauhottaa	1	VERB_VIEROITTAA	aok
rauniottaa	1	VERB_VIEROITTAA	aok
rimottaa	1	VERB_VIEROITTAA	aok
ristisillottaa	1	VERB_VIEROITTAA	aok
rivottaa	1	VERB_VIEROITTAA	aok
saippuottaa	1	VERB_VIEROITTAA	aok
sannottaa	1	VERB_VIEROITTAA	aok
sanottaa	1	VERB_VIEROITTAA	aok
sarjottaa	1	VERB_VIEROITTAA	aok
saumottaa	1	VERB_VIEROITTAA	aok
sekavottaa	1	VERB_VIEROITTAA	aok
sekottaa	1	VERB_VIEROITTAA	aok
sijottaa	1	VERB_VIEROITTAA	aok
sillottaa	1	VERB_VIEROITTAA	aok
sirpalottaa	1	VERB_VIEROITTAA	aok
sisäänkirjottaa	1	VERB_VIEROITTAA	aok
sottaa	1	VERB_VIEROITTAA	aok
sokerottaa	1	VERB_VIEROITTAA	aok
solakottaa	1	VERB_VIEROITTAA	aok
sujuvottaa	1	VERB_VIEROITTAA	aok
suojamaadottaa	1	VERB_VIEROITTAA	aok
taksottaa	1	VERB_VIEROITTAA	aok
tarkottaa	1	VERB_VIEROITTAA	aok
tasottaa	1	VERB_VIEROITTAA	aok
tatuottaa	1	VERB_VIEROITTAA	aok
taustottaa	1	VERB_VIEROITTAA	aok
tavottaa	1	VERB_VIEROITTAA	aok
teemottaa	1	VERB_VIEROITTAA	aok
telottaa	1	VERB_VIEROITTAA	aok
terottaa	1	VERB_VIEROITTAA	aok
unhottaa	1	VERB_VIEROITTAA	aok
uudelleenkirjottaa	1	VERB_VIEROITTAA	aok
uudelleensijottaa	1	VERB_VIEROITTAA	aok
vahingottaa	1	VERB_VIEROITTAA	aok
vakavottaa	1	VERB_VIEROITTAA	aok
vallihaudottaa	1	VERB_VIEROITTAA	aok
vallottaa	1	VERB_VIEROITTAA	aok
varottaa	1	VERB_VIEROITTAA	aok
vasottaa	1	VERB_VIEROITTAA	aok
vauriottaa	1	VERB_VIEROITTAA	aok
vaurottaa	1	VERB_VIEROITTAA	aok
velottaa	1	VERB_VIEROITTAA	aok
velvottaa	1	VERB_VIEROITTAA	aok
videonauhottaa	1	VERB_VIEROITTAA	aok
viekottaa	1	VERB_VIEROITTAA	aok
vierottaa	1	VERB_VIEROITTAA	aok
vihmottaa	1	VERB_VIEROITTAA	aok
vihottaa	1	VERB_VIEROITTAA	aok
viitottaa	1	VERB_VIEROITTAA	aok
viivottaa	1	VERB_VIEROITTAA	aok
villottaa	1	VERB_VIEROITTAA	aok
vilvottaa	1	VERB_VIEROITTAA	aok
viottaa	1	VERB_VIEROITTAA	aok
virrottaa	1	VERB_VIEROITTAA	aok
virvottaa	1	VERB_VIEROITTAA	aok
vottaa	1	VERB_VIEROITTAA	aok
väärinkirjottaa	1	VERB_VIEROITTAA	aok
yhteisrahottaa	1	VERB_VIEROITTAA	aok
ylikirjottaa	1	VERB_VIEROITTAA	aok
ylimitottaa	1	VERB_VIEROITTAA	aok
ylivottaa	1	VERB_VIEROITTAA	aok
aakkoinen	1	NOUN_AAKKOSTAMINEN	aok
aaltoinen	1	NOUN_AAKKOSTAMINEN	aok
aamukymmeinen	1	NOUN_AAMUKYMMENEN	joukahainen
ainehiukkainen	1	NOUN_AAKKOSTAMINEN	aok
aisahevoinen	1	NOUN_AAKKOSTAMINEN	aok
alfahiukkainen	1	NOUN_AAKKOSTAMINEN	aok
alkeishiukkainen	1	NOUN_AAKKOSTAMINEN	aok
alkiohuokoinen	1	NOUN_AAKKOSTAMINEN	aok
aluinen	1	NOUN_AAKKOSTAMINEN	aok
aluslautainen	1	NOUN_AAKKOSTAMINEN	aok
amerikannokkavarpuinen	1	NOUN_AAKKOSTAMINEN	aok
amerikanohdakeperhoinen	1	NOUN_AAKKOSTAMINEN	aok
amerikanratsuhevoinen	1	NOUN_AAKKOSTAMINEN	aok
amiraaliperhoinen	1	NOUN_AAKKOSTAMINEN	aok
ankanpoikainen	1	NOUN_AAKKOSTAMINEN	aok
antihiukkainen	1	NOUN_AAKKOSTAMINEN	aok
apolloperhoinen	1	NOUN_AAKKOSTAMINEN	aok
appoinen	1	NOUN_AAKKOSTAMINEN	aok
arabianhevoinen	1	NOUN_AAKKOSTAMINEN	aok
auroraperhoinen	1	NOUN_AAKKOSTAMINEN	aok
avorauhainen	1	NOUN_AAKKOSTAMINEN	aok
baarikärpäinen	1	NOUN_KYLKIÄINEN	aok
banaanikärpäinen	1	NOUN_KYLKIÄINEN	aok
beetahiukkainen	1	NOUN_AAKKOSTAMINEN	aok
bulbouretraalirauhainen	1	NOUN_AAKKOSTAMINEN	aok
ehtoollislautainen	1	NOUN_AAKKOSTAMINEN	aok
emoinen	1	NOUN_AAKKOSTAMINEN	aok
espanjankärpäinen	1	NOUN_KYLKIÄINEN	aok
esteratsastushevoinen	1	NOUN_AAKKOSTAMINEN	aok
eteisrauhainen	1	NOUN_AAKKOSTAMINEN	aok
etikkakärpäinen	1	NOUN_KYLKIÄINEN	aok
eturauhainen	1	NOUN_AAKKOSTAMINEN	aok
eukkoinen	1	NOUN_AAKKOSTAMINEN	aok
euroinen	1	NOUN_AAKKOSTAMINEN	aok
gammayökköinen	1	NOUN_KYLKIÄINEN	aok
haapaperhoinen	1	NOUN_AAKKOSTAMINEN	aok
hakainen	1	NOUN_AAKKOSTAMINEN	aok
hamoinen	1	NOUN_AAKKOSTAMINEN	aok
hankakeräinen	1	NOUN_KYLKIÄINEN	aok
harmaavarpuinen	1	NOUN_AAKKOSTAMINEN	aok
haukanpoikainen	1	NOUN_AAKKOSTAMINEN	aok
havunneulainen	1	NOUN_AAKKOSTAMINEN	aok
hedelmäkärpäinen	1	NOUN_KYLKIÄINEN	aok
heinäperhoinen	1	NOUN_AAKKOSTAMINEN	aok
henkoinen	1	NOUN_AAKKOSTAMINEN	aok
herrainen	1	ADJ_AAKKOSELLINEN	aok
herukkaperhoinen	1	NOUN_AAKKOSTAMINEN	aok
hevoinen	1	NOUN_AAKKOSTAMINEN	aok
hevoskärpäinen	1	NOUN_KYLKIÄINEN	aok
hiekkahentuinen	1	ADJ_AAKKOSELLINEN	aok
hiekkajyväinen	1	NOUN_KYLKIÄINEN	aok
hikihuokoinen	1	NOUN_AAKKOSTAMINEN	aok
hikirauhainen	1	NOUN_AAKKOSTAMINEN	aok
hippuinen	1	NOUN_AAKKOSTAMINEN	aok
hirvikärpäinen	1	NOUN_KYLKIÄINEN	aok
hitulautainen	1	NOUN_AAKKOSTAMINEN	aok
hituinen	1	NOUN_AAKKOSTAMINEN	aok
hiukkainen	1	NOUN_AAKKOSTAMINEN	aok
hiussuonikeräinen	1	NOUN_KYLKIÄINEN	aok
hopealautainen	1	NOUN_AAKKOSTAMINEN	aok
hopeatäpläperhoinen	1	NOUN_AAKKOSTAMINEN	aok
horkkahyttyinen	1	NOUN_KYLKIÄINEN	aok
huokoinen	1	NOUN_AAKKOSTAMINEN	aok
huonekärpäinen	1	NOUN_KYLKIÄINEN	aok
huopatöppöinen	1	NOUN_KYLKIÄINEN	aok
hyppyinen	1	NOUN_KYLKIÄINEN	aok
hyttyinen	1	NOUN_KYLKIÄINEN	aok
hyväinen	1	ADV_VAAN	aok
häiveperhoinen	1	NOUN_AAKKOSTAMINEN	aok
häntäkärpäinen	1	NOUN_KYLKIÄINEN	aok
härkäinen	1	NOUN_KYLKIÄINEN	aok
höykäinen	1	NOUN_KYLKIÄINEN	aok
identifiointihiukkainen	1	NOUN_AAKKOSTAMINEN	aok
idänkyläpöllöinen	1	NOUN_KYLKIÄINEN	aok
ihkainen	1	ADJ_AAKKOSELLINEN	aok
ihohuokoinen	1	NOUN_AAKKOSTAMINEN	aok
ilmahuokoinen	1	NOUN_AAKKOSTAMINEN	aok
